Timestamp,Module,Message Class (Log Level),Function,Message,Application state,Queue,Thread ID,App,File,Line
" 2021-10-25T16:50:50.845-0500 ",MdxNetwork,INFO (4),+[WKWebView(ctx) ctxHandlesURLScheme:],"ctxHandlesURLScheme: urlScheme = edge => return 0",Background,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,136
" 2021-10-25T16:50:50.851-0500 ",MdxNetwork,INFO (4),+[WKWebView(ctx) ctxHandlesURLScheme:],"ctxHandlesURLScheme: urlScheme = read => return 0",Background,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,136
" 2021-10-25T16:50:50.885-0500 ",MdxNetwork,INFO (4),+[WKWebView(ctx) ctxHandlesURLScheme:],"ctxHandlesURLScheme: urlScheme = edge => return 0",Background,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,136
" 2021-10-25T16:50:50.886-0500 ",MdxNetwork,INFO (4),+[WKWebView(ctx) ctxHandlesURLScheme:],"ctxHandlesURLScheme: urlScheme = read => return 0",Background,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,136
" 2021-10-25T16:50:51.190-0500 ",MdxNetwork,INFO (4),-[WKWebView(ctx) ctxInitWithFrame:configuration:],"ctxInitWithFrame: {{0, 0}, {0, 0}}, <WKWebViewConfiguration: 0x1068babc0; processPool = <WKProcessPool: 0x10691da20; configuration = <_WKProcessPoolConfiguration: 0x28292c580>>; preferences = <WKPreferences: 0x283514380>>",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,203
" 2021-10-25T16:50:51.191-0500 ",MdxCoreFramework,ERROR (2),-[MdxDataStorage getDataAsObjectForKey:outError:],"getDataForKey finished with error: 0",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/DataStorage/MdxDataStorage.m,233
" 2021-10-25T16:50:51.191-0500 ",MdxCoreFramework,ERROR (2),-[MdxDataStorage getDataAsObjectForKey:outError:],"getDataForKey finished with error: 0",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/DataStorage/MdxDataStorage.m,233
" 2021-10-25T16:50:51.192-0500 ",MdxNetwork,INFO (4),+[WKWebView(ctx) checkIfPoliciesDictateWKWebViewHookingSupport],"+[WKWebView(ctx) checkIfPoliciesDictateWKWebViewHookingSupport] - Network access policy is 1",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,321
" 2021-10-25T16:50:51.192-0500 ",MdxNetwork,INFO (4),-[WKWebView(ctx) ctxInitWithFrame:configuration:],"ctxInitWithFrame - checkIfPoliciesDictateWKWebViewHookingSupport returned NO",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,207
" 2021-10-25T16:50:51.204-0500 ",MdxNetwork,INFO (4),-[WKWebView(ctx) ctxSetNavigationDelegate:],"ctxSetNavigationDelegate - delegate: <CRWWKNavigationHandler: 0x282b35bc0>, self.navigationDelegate: (null), self.delegateProxy: (null)",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,258
" 2021-10-25T16:50:51.214-0500 ",MdxNetwork,INFO (4),-[WKWebView(ctx) ctxLoadRequest:],"ctxLoadRequest: <NSMutableURLRequest: 0x281c55bb0> { URL: file:///private/var/containers/Bundle/Application/CE67F98E-705B-4E4B-BAC4-4E9C57EF1297/Edge.app/restore_session.html#session=%7B%22offset%22%3A0%2C%22titles%22%3A%5B%22Priority%20Mail%20%7C%20USPS%22%2C%22pick%20up.time%20for%20priority%20mail.fayetteville%20ar%20-%E2%80%A6%22%2C%22USPS%20in%20Fayetteville%20(AR)%20%7C%20USPS%20Locations%22%2C%22usps%20picup.joyce%20blvd%20-%20Bing%22%2C%22usps%20picup.joyce%20blvd%20-%20Bing%22%5D%2C%22urls%22%3A%5B%22https%3A%2F%2Fwww.usps.com%2Fship%2Fpriority-mail.htm%3Fback%3Dhttps%253A%252F%252Fwww.google.com%252Fsearch%253Fclient%253Dsafari%2526as_qdr%253Dall%2526as_occt%253Dany%2526safe%253Dactive%2526as_q%253Dwhat%2Bis%2Bthe%2Blast%2Btime%2Bfor%2BUS%2BPS%2Bpriority%2Bmail%2Bin%2BFayetteville%2Bon%2BBoyce%2BAvenue%2526channel%253Daplab%2526source%253Da-app1%2526hl%253Den%22%2C%22https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dpick%2Bup.time%2Bfor%2Bpriority%2Bmail.fayetteville%2Bar%26pc%3DEMMX04%26FORM%3DEMMXA2%26mkt%3Den-us%22%2C%22https%3A%2F%2Fusalocator.org%2Fusps-locations%2Farkansas%2Ffayetteville%22%2C%22https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dusps%2Bpicup.joyce%2Bblvd%26pc%3DEMMX04%26FORM%3DEMMXA2%26mkt%3Den-us%22%2C%22https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dusps%2Bpicup.joyce%2Bblvd%26pc%3DEMMX04%26FORM%3DGEOTRI%26mkt%3Den-us%26isRef%3D1%26isAuto%3D1%26showTw%3D1%22%5D%7D }",Inactive,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/SmartNetwork/WKWebView/WKWebView+ctx.m,221
" 2021-10-25T16:50:51.246-0500 ",MdxCoreFramework,ERROR (2),-[MdxDataStorage getDataAsObjectForKey:outError:],"getDataForKey finished with error: 0",Active,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/DataStorage/MdxDataStorage.m,233
" 2021-10-25T16:50:51.247-0500 ",MdxCoreFramework,ERROR (2),-[MdxDataStorage getDataAsObjectForKey:outError:],"getDataForKey finished with error: 0",Active,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/DataStorage/MdxDataStorage.m,233
" 2021-10-25T16:50:51.247-0500 ",MdxCoreFramework,WARNING (3),-[MdxConfigManager xmsPolicyInfo],"xmsPolicyInfo is nil.",Active,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/MdxConfigurationManager/MdxConfigManager.m,432
" 2021-10-25T16:50:51.247-0500 ",MdxCoreFramework,ERROR (2),-[MdxDataStorage getDataAsObjectForKey:outError:],"getDataForKey finished with error: 0",Active,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/DataStorage/MdxDataStorage.m,233
" 2021-10-25T16:50:51.247-0500 ",MdxCoreFramework,WARNING (3),-[MdxConfigManager xmsPolicyInfo],"xmsPolicyInfo is nil.",Active,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/MdxConfigurationManager/MdxConfigManager.m,432
" 2021-10-25T16:50:51.247-0500 ",MdxCoreFramework,ERROR (2),-[MdxDataStorage getDataAsObjectForKey:outError:],"getDataForKey finished with error: 0",Active,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iOS_Explicit_SDKs_Release_20.7.0/SDKFrameworks/MdxCore/DataStorage/MdxDataStorage.m,233
